QuestFlag,Server,Verified Conquest,Verified Levistras,Quest,Url,Info,Hint,Repeatable
bestoweraxe2,,Verified,Verified,Bestowers' Guild of Dereth,https://acportalstorm.com/wiki/Bestowers'_Guild_of_Dereth,Skullsplitter. See Eluard the Namer; Darsida al-Qawa; Jaizen Tan. In Eastham.,Eastham 17.0N 63.3E - Speak with Eluard the Namer - Speak with Caranis the Dependable - Pick up Skill Puzzle Base Piece - Purchase Skill Puzzle Piece - Combine pieces - Speak with Eluard the Namer to turn in,FALSE
bestowerbasepiece,,Verified,Verified,Bestowers' Guild of Dereth,https://acportalstorm.com/wiki/Bestowers'_Guild_of_Dereth,Pick up Skill Puzzle Base Piece in any tent. In Eastham.,Eastham 17.0N 63.3E - Speak with Eluard the Namer - Speak with Caranis the Dependable - Pick up Skill Puzzle Base Piece - Purchase Skill Puzzle Piece - Combine pieces - Speak with Eluard the Namer to turn in,TRUE
bestowerbow1,,Verified,Verified,Bestowers' Guild of Dereth,https://acportalstorm.com/wiki/Bestowers'_Guild_of_Dereth,Hand in Bow puzzle piece to Bestower Examiner. In Eastham.,Eastham 17.0N 63.3E - Speak with Eluard the Namer - Speak with Caranis the Dependable - Pick up Skill Puzzle Base Piece - Purchase Skill Puzzle Piece - Combine pieces - Speak with Eluard the Namer to turn in,FALSE
bestowerbow2,,Verified,Verified,Bestowers' Guild of Dereth,https://acportalstorm.com/wiki/Bestowers'_Guild_of_Dereth,Deadeye. See Eluard the Namer; Darsida al-Qawa; Jaizen Tan. In Eastham.,Eastham 17.0N 63.3E - Speak with Eluard the Namer - Speak with Caranis the Dependable - Pick up Skill Puzzle Base Piece - Purchase Skill Puzzle Piece - Combine pieces - Speak with Eluard the Namer to turn in,FALSE
bestowercooking1,,Verified,Verified,Bestowers' Guild of Dereth,https://acportalstorm.com/wiki/Bestowers'_Guild_of_Dereth,Chef. See Eluard the Namer; Darsida al-Qawa; Jaizen Tan. In Eastham.,Eastham 17.0N 63.3E - Speak with Eluard the Namer - Speak with Caranis the Dependable - Pick up Skill Puzzle Base Piece - Purchase Skill Puzzle Piece - Combine pieces - Speak with Eluard the Namer to turn in,FALSE
bestowercooking2,,Verified,Verified,Bestowers' Guild of Dereth,https://acportalstorm.com/wiki/Bestowers'_Guild_of_Dereth,Iron Chef. See Eluard the Namer; Darsida al-Qawa; Jaizen Tan. In Eastham.,Eastham 17.0N 63.3E - Speak with Eluard the Namer - Speak with Caranis the Dependable - Pick up Skill Puzzle Base Piece - Purchase Skill Puzzle Piece - Combine pieces - Speak with Eluard the Namer to turn in,FALSE
bestowercreature1,,Verified,Verified,Bestowers' Guild of Dereth,https://acportalstorm.com/wiki/Bestowers'_Guild_of_Dereth,Creature Enchantment Adept. See Eluard the Namer; Darsida al-Qawa; Jaizen Tan. In Eastham.,Eastham 17.0N 63.3E - Speak with Eluard the Namer - Speak with Caranis the Dependable - Pick up Skill Puzzle Base Piece - Purchase Skill Puzzle Piece - Combine pieces - Speak with Eluard the Namer to turn in,FALSE
bestowercreature2,,Verified,Verified,Bestowers' Guild of Dereth,https://acportalstorm.com/wiki/Bestowers'_Guild_of_Dereth,Evoker. See Eluard the Namer; Darsida al-Qawa; Jaizen Tan. In Eastham.,Eastham 17.0N 63.3E - Speak with Eluard the Namer - Speak with Caranis the Dependable - Pick up Skill Puzzle Base Piece - Purchase Skill Puzzle Piece - Combine pieces - Speak with Eluard the Namer to turn in,FALSE
bestowerdagger1,,Verified,Verified,Bestowers' Guild of Dereth,https://acportalstorm.com/wiki/Bestowers'_Guild_of_Dereth,Dagger Fighter. See Eluard the Namer; Darsida al-Qawa; Jaizen Tan. In Eastham.,Eastham 17.0N 63.3E - Speak with Eluard the Namer - Speak with Caranis the Dependable - Pick up Skill Puzzle Base Piece - Purchase Skill Puzzle Piece - Combine pieces - Speak with Eluard the Namer to turn in,FALSE
bestowerdagger2,,Verified,Verified,Bestowers' Guild of Dereth,https://acportalstorm.com/wiki/Bestowers'_Guild_of_Dereth,Slicer. See Eluard the Namer; Darsida al-Qawa; Jaizen Tan. In Eastham.,Eastham 17.0N 63.3E - Speak with Eluard the Namer - Speak with Caranis the Dependable - Pick up Skill Puzzle Base Piece - Purchase Skill Puzzle Piece - Combine pieces - Speak with Eluard the Namer to turn in,FALSE
bestowerfletching1,,Verified,Verified,Bestowers' Guild of Dereth,https://acportalstorm.com/wiki/Bestowers'_Guild_of_Dereth,Fletcher. See Eluard the Namer; Darsida al-Qawa; Jaizen Tan. In Eastham.,Eastham 17.0N 63.3E - Speak with Eluard the Namer - Speak with Caranis the Dependable - Pick up Skill Puzzle Base Piece - Purchase Skill Puzzle Piece - Combine pieces - Speak with Eluard the Namer to turn in,FALSE
bestowerfletching2,,Verified,Verified,Bestowers' Guild of Dereth,https://acportalstorm.com/wiki/Bestowers'_Guild_of_Dereth,MasterFletcher. See Eluard the Namer; Darsida al-Qawa; Jaizen Tan. In Eastham.,Eastham 17.0N 63.3E - Speak with Eluard the Namer - Speak with Caranis the Dependable - Pick up Skill Puzzle Base Piece - Purchase Skill Puzzle Piece - Combine pieces - Speak with Eluard the Namer to turn in,FALSE
bestoweritem1,,Verified,Verified,Bestowers' Guild of Dereth,https://acportalstorm.com/wiki/Bestowers'_Guild_of_Dereth,Item Enchantment Adept. See Eluard the Namer; Darsida al-Qawa; Jaizen Tan. In Eastham.,Eastham 17.0N 63.3E - Speak with Eluard the Namer - Speak with Caranis the Dependable - Pick up Skill Puzzle Base Piece - Purchase Skill Puzzle Piece - Combine pieces - Speak with Eluard the Namer to turn in,FALSE
bestoweritem2,,Verified,Verified,Bestowers' Guild of Dereth,https://acportalstorm.com/wiki/Bestowers'_Guild_of_Dereth,Artifex. See Eluard the Namer; Darsida al-Qawa; Jaizen Tan. In Eastham.,Eastham 17.0N 63.3E - Speak with Eluard the Namer - Speak with Caranis the Dependable - Pick up Skill Puzzle Base Piece - Purchase Skill Puzzle Piece - Combine pieces - Speak with Eluard the Namer to turn in,FALSE
bestowerlife1,,Verified,Verified,Bestowers' Guild of Dereth,https://acportalstorm.com/wiki/Bestowers'_Guild_of_Dereth,Life Magic Adept. See Eluard the Namer; Darsida al-Qawa; Jaizen Tan. In Eastham.,Eastham 17.0N 63.3E - Speak with Eluard the Namer - Speak with Caranis the Dependable - Pick up Skill Puzzle Base Piece - Purchase Skill Puzzle Piece - Combine pieces - Speak with Eluard the Namer to turn in,FALSE
bestowerlife2,,Verified,Verified,Bestowers' Guild of Dereth,https://acportalstorm.com/wiki/Bestowers'_Guild_of_Dereth,Theurgist. See Eluard the Namer; Darsida al-Qawa; Jaizen Tan. In Eastham.,Eastham 17.0N 63.3E - Speak with Eluard the Namer - Speak with Caranis the Dependable - Pick up Skill Puzzle Base Piece - Purchase Skill Puzzle Piece - Combine pieces - Speak with Eluard the Namer to turn in,FALSE
bestowermace1,,Verified,Verified,Bestowers' Guild of Dereth,https://acportalstorm.com/wiki/Bestowers'_Guild_of_Dereth,Mace Warrior. See Eluard the Namer; Darsida al-Qawa; Jaizen Tan. In Eastham.,Eastham 17.0N 63.3E - Speak with Eluard the Namer - Speak with Caranis the Dependable - Pick up Skill Puzzle Base Piece - Purchase Skill Puzzle Piece - Combine pieces - Speak with Eluard the Namer to turn in,FALSE
bestowermace2,,Verified,Verified,Bestowers' Guild of Dereth,https://acportalstorm.com/wiki/Bestowers'_Guild_of_Dereth,Skullcrusher. See Eluard the Namer; Darsida al-Qawa; Jaizen Tan. In Eastham.,Eastham 17.0N 63.3E - Speak with Eluard the Namer - Speak with Caranis the Dependable - Pick up Skill Puzzle Base Piece - Purchase Skill Puzzle Piece - Combine pieces - Speak with Eluard the Namer to turn in,FALSE
bestowerspear1,,Verified,Verified,Bestowers' Guild of Dereth,https://acportalstorm.com/wiki/Bestowers'_Guild_of_Dereth,Spear Warrior. See Eluard the Namer; Darsida al-Qawa; Jaizen Tan. In Eastham.,Eastham 17.0N 63.3E - Speak with Eluard the Namer - Speak with Caranis the Dependable - Pick up Skill Puzzle Base Piece - Purchase Skill Puzzle Piece - Combine pieces - Speak with Eluard the Namer to turn in,FALSE
bestowerspear2,,Verified,Verified,Bestowers' Guild of Dereth,https://acportalstorm.com/wiki/Bestowers'_Guild_of_Dereth,Impaler. See Eluard the Namer; Darsida al-Qawa; Jaizen Tan. In Eastham.,Eastham 17.0N 63.3E - Speak with Eluard the Namer - Speak with Caranis the Dependable - Pick up Skill Puzzle Base Piece - Purchase Skill Puzzle Piece - Combine pieces - Speak with Eluard the Namer to turn in,FALSE
bestowerstaff1,,Verified,Verified,Bestowers' Guild of Dereth,https://acportalstorm.com/wiki/Bestowers'_Guild_of_Dereth,Staff Warrior. See Eluard the Namer; Darsida al-Qawa; Jaizen Tan. In Eastham.,Eastham 17.0N 63.3E - Speak with Eluard the Namer - Speak with Caranis the Dependable - Pick up Skill Puzzle Base Piece - Purchase Skill Puzzle Piece - Combine pieces - Speak with Eluard the Namer to turn in,FALSE
bestowerstaff2,,Verified,Verified,Bestowers' Guild of Dereth,https://acportalstorm.com/wiki/Bestowers'_Guild_of_Dereth,Master of Staves. See Eluard the Namer; Darsida al-Qawa; Jaizen Tan. In Eastham.,Eastham 17.0N 63.3E - Speak with Eluard the Namer - Speak with Caranis the Dependable - Pick up Skill Puzzle Base Piece - Purchase Skill Puzzle Piece - Combine pieces - Speak with Eluard the Namer to turn in,FALSE
bestowersword1,,Verified,Verified,Bestowers' Guild of Dereth,https://acportalstorm.com/wiki/Bestowers'_Guild_of_Dereth,Swordfighter. See Eluard the Namer; Darsida al-Qawa; Jaizen Tan. In Eastham.,Eastham 17.0N 63.3E - Speak with Eluard the Namer - Speak with Caranis the Dependable - Pick up Skill Puzzle Base Piece - Purchase Skill Puzzle Piece - Combine pieces - Speak with Eluard the Namer to turn in,FALSE
bestowersword2,,Verified,Verified,Bestowers' Guild of Dereth,https://acportalstorm.com/wiki/Bestowers'_Guild_of_Dereth,Duelist. See Eluard the Namer; Darsida al-Qawa; Jaizen Tan. In Eastham.,Eastham 17.0N 63.3E - Speak with Eluard the Namer - Speak with Caranis the Dependable - Pick up Skill Puzzle Base Piece - Purchase Skill Puzzle Piece - Combine pieces - Speak with Eluard the Namer to turn in,FALSE
bestowerthrownweapons1,,Verified,Verified,Bestowers' Guild of Dereth,https://acportalstorm.com/wiki/Bestowers'_Guild_of_Dereth,Ballisteer. See Eluard the Namer; Darsida al-Qawa; Jaizen Tan. In Eastham.,Eastham 17.0N 63.3E - Speak with Eluard the Namer - Speak with Caranis the Dependable - Pick up Skill Puzzle Base Piece - Purchase Skill Puzzle Piece - Combine pieces - Speak with Eluard the Namer to turn in,FALSE
bestowerthrownweapons2,,Verified,Verified,Bestowers' Guild of Dereth,https://acportalstorm.com/wiki/Bestowers'_Guild_of_Dereth,Projectilist. See Eluard the Namer; Darsida al-Qawa; Jaizen Tan. In Eastham.,Eastham 17.0N 63.3E - Speak with Eluard the Namer - Speak with Caranis the Dependable - Pick up Skill Puzzle Base Piece - Purchase Skill Puzzle Piece - Combine pieces - Speak with Eluard the Namer to turn in,FALSE
bestowerunarmed1,,Verified,Verified,Bestowers' Guild of Dereth,https://acportalstorm.com/wiki/Bestowers'_Guild_of_Dereth,Unarmed Brawler. See Eluard the Namer; Darsida al-Qawa; Jaizen Tan. In Eastham.,Eastham 17.0N 63.3E - Speak with Eluard the Namer - Speak with Caranis the Dependable - Pick up Skill Puzzle Base Piece - Purchase Skill Puzzle Piece - Combine pieces - Speak with Eluard the Namer to turn in,FALSE
bestowerunarmed2,,Verified,Verified,Bestowers' Guild of Dereth,https://acportalstorm.com/wiki/Bestowers'_Guild_of_Dereth,Pugilist. See Eluard the Namer; Darsida al-Qawa; Jaizen Tan. In Eastham.,Eastham 17.0N 63.3E - Speak with Eluard the Namer - Speak with Caranis the Dependable - Pick up Skill Puzzle Base Piece - Purchase Skill Puzzle Piece - Combine pieces - Speak with Eluard the Namer to turn in,FALSE
bestowerwar1,,Verified,Verified,Bestowers' Guild of Dereth,https://acportalstorm.com/wiki/Bestowers'_Guild_of_Dereth,War Magic Adept. See Eluard the Namer; Darsida al-Qawa; Jaizen Tan. In Eastham.,Eastham 17.0N 63.3E - Speak with Eluard the Namer - Speak with Caranis the Dependable - Pick up Skill Puzzle Base Piece - Purchase Skill Puzzle Piece - Combine pieces - Speak with Eluard the Namer to turn in,FALSE
bestowerwar2,,Verified,Verified,Bestowers' Guild of Dereth,https://acportalstorm.com/wiki/Bestowers'_Guild_of_Dereth,Warlock. See Eluard the Namer; Darsida al-Qawa; Jaizen Tan. In Eastham.,Eastham 17.0N 63.3E - Speak with Eluard the Namer - Speak with Caranis the Dependable - Pick up Skill Puzzle Base Piece - Purchase Skill Puzzle Piece - Combine pieces - Speak with Eluard the Namer to turn in,FALSE
bestowerxbow1,,Verified,Verified,Bestowers' Guild of Dereth,https://acportalstorm.com/wiki/Bestowers'_Guild_of_Dereth,Sniper. See Eluard the Namer; Darsida al-Qawa; Jaizen Tan. In Eastham.,Eastham 17.0N 63.3E - Speak with Eluard the Namer - Speak with Caranis the Dependable - Pick up Skill Puzzle Base Piece - Purchase Skill Puzzle Piece - Combine pieces - Speak with Eluard the Namer to turn in,FALSE
bestowerxbow2,,Verified,Verified,Bestowers' Guild of Dereth,https://acportalstorm.com/wiki/Bestowers'_Guild_of_Dereth,Sureshot. See Eluard the Namer; Darsida al-Qawa; Jaizen Tan. In Eastham.,Eastham 17.0N 63.3E - Speak with Eluard the Namer - Speak with Caranis the Dependable - Pick up Skill Puzzle Base Piece - Purchase Skill Puzzle Piece - Combine pieces - Speak with Eluard the Namer to turn in,FALSE
bethelcompleted,,Verified,Verified,Raeta's Necklace Quest,https://acportalstorm.com/wiki/Raeta's_Necklace_Quest,Bethel of Butterflies once players have brought the amulet to Aun Papileona he will stamp them so he will not send them on the quest again for one week.,Bluespire 39.8N 76.4W - Speak with Aun Papileona - Aun Papileona's Shrine to Raeta 38.9N 76.3W - loot Aun Papileona's Key from Carenzi Sentry - open chest for Aun Papileona's Amulet - return to Aun Papileona for Raeta's Necklace,TRUE
bethelcompleted02,,Verified,Verified,Raeta's Necklace Quest,https://acportalstorm.com/wiki/Raeta's_Necklace_Quest,Bethel of Butterflies players may pick the key off the boss monster only once a week. Find/use Aun Papileona's Key.,Bluespire 39.8N 76.4W - Speak with Aun Papileona - Aun Papileona's Shrine to Raeta 38.9N 76.3W - loot Aun Papileona's Key from Carenzi Sentry - open chest for Aun Papileona's Amulet - return to Aun Papileona for Raeta's Necklace,TRUE
blackboulder,,Verified,Verified,Lady Aerfalle Quest,https://acportalstorm.com/wiki/Lady_Aerfalle_Quest,Loot Black Boulder from Behemoth of Tenkarrdun. Spawns after turning in bellows.,Crater Caves Dungeon 66.7N 12.5E - Tenkarrdun Foundry 88.8N 42.8E - Aerlinthe Reservoir 85.5N 43.4E - Aerlinthe Lower Reservoir - Relic Town 86.0N 45.4E - Aerfalle Keep 86.4N 45.4E - Aerfalle's Sanctum,TRUE
blackdeathcatacombsquidditywait,,Verified,Verified,Black Death Catacombs Quiddity Seed Quest,https://acportalstorm.com/wiki/Black_Death_Catacombs_Quiddity_Seed_Quest,Completed Black Death Catacombs Quiddity Seed Quest. See Emissary of Asheron.,Speak with Emissary of Asheron at Asheron's Castle 21.9N 19.0E - Strange Device 21.9N 19.0E - Underground City 21.3N 53.9E Strange Device - Asheron's Island 17.9N 64.3E Strange Device 21.2N 69.2E - Underground City Strange Device - Black Death Catacombs 59.9N 71.2E - Return to Emissary of Asheron,TRUE
blackdragonkillcount,Conquest,Verified,,Black Dragon Kill Task,,Blackdragon Kill Count,Blackdragon Kill Count,TRUE
blackdragonkilltask,Conquest,Verified,,Black Dragon Kill Task,,Blackdragon Kill Task,Blackdragon Kill Task,TRUE
blackdragonkilltaskstarted,Conquest,Verified,,Black Dragon Kill Task,,Black Dragon Kill Task Started,Black Dragon Kill Task Started,FALSE
blackferahsvault_start,,Verified,,Mukkir Aspect of Grael Quest,https://acportalstorm.com/wiki/Mukkir_Aspect_of_Grael_Quest,Speak to Varetha.,Obsidian Rim 44.3S 62.5W - Speak with Varetha - Black Ferah's Vault 39.1S 60.1W - Mukkir Infested Black Spear Temple 37.2S 67.0W - Speak with Varetha - Speak with Hoshar ibn Jalaq 59.6S 88.0W,FALSE
blackmarketadvancementwait,,Verified,,Non-Quest,https://acportalstorm.com/wiki/Non-Quest,Cooldown for Black Market Advancement Gem. See Ilnorra Denasta.,Cooldown for Black Market Advancement Gem. See Ilnorra Denasta.,TRUE
blackmarketagedlegendarykeywait,,Verified,,Non-Quest,https://acportalstorm.com/wiki/Non-Quest,Cooldown for Black Market Legendary Key Purchase. See Consolata; Digby.,Cooldown for Black Market Legendary Key Purchase. See Consolata - Digby.,TRUE
blackmarketblackcoralgolemkilltask,,Verified,Verified,Black Coral Golem Kill Task,https://acportalstorm.com/wiki/Black_Coral_Golem_Kill_Task,Black Coral Golem Kill Task. Turn in to Chiriko. In Northwatch Castle Black Market.,Sanamar 71.8N 60.8W - Speak with Malrin - Kill 50 Coral Golems at Aerlinthe - Return to Malrin,TRUE
blackmarketblackcoralgolemkilltaskwait,,Verified,,Black Coral Golem Kill Task,https://acportalstorm.com/wiki/Black_Coral_Golem_Kill_Task,Black Coral Golem Kill Task Wait. See Chiriko. In Northwatch Castle Black Market.,Sanamar 71.8N 60.8W - Speak with Malrin - Kill 50 Coral Golems at Aerlinthe - Return to Malrin,TRUE
blackmarketblightedcoralgolemkilltask,,Verified,Verified,Blighted Coral Golem Kill Task,https://acportalstorm.com/wiki/Blighted_Coral_Golem_Kill_Task,Blighted Coral Golem Kill Task. Turn in to Hanzo. In Northwatch Castle Black Market.,Sanamar 71.8N 60.8W - Speak with Malrin - Kill 50 Coral Golems at Aerlinthe - Return to Malrin,TRUE
blackmarketblightedcoralgolemkilltaskwait,,Verified,,Blighted Coral Golem Kill Task,https://acportalstorm.com/wiki/Blighted_Coral_Golem_Kill_Task,Blighted Coral Golem Kill Task Wait. See Hanzo. In Northwatch Castle Black Market.,Sanamar 71.8N 60.8W - Speak with Malrin - Kill 50 Coral Golems at Aerlinthe - Return to Malrin,TRUE
blackringstep1,Conquest,Verified,,Black Ring,,Blackringstep1,Blackringstep1,FALSE
blackringstep2,Conquest,Verified,,Black Ring,,Blackringstep2,Blackringstep2,FALSE
blackringstep3,Conquest,Verified,,Black Ring,,Blackringstep3,Blackringstep3,FALSE
blackspearbufftimer,,Verified,Verified,Non-Quest,https://acportalstorm.com/wiki/Non-Quest,Use any of the black Spear rewards from Aspect of Grael Quests. No different qb in using ruschk shadow or mukkir versions.,Use any of the black Spear rewards from Aspect of Grael Quests. No different qb in using ruschk shadow or mukkir versions.,TRUE
blackspearicetotem_pickup,,Verified,Verified,The Black Spear Ice Totem,https://acportalstorm.com/wiki/The_Black_Spear_Ice_Totem,Loot Black Spear Ice Totem.,Speak with Kalakh 94.0N 45.9W or Arialle du Bellenesse 93.2N 48.2W - Temple of the Black Spear 95.3N 52.2W - retrieve Black Spear Ice Totem - return to quest giver,TRUE
blackspearicetotemcompleted,,Verified,Verified,The Black Spear Ice Totem,https://acportalstorm.com/wiki/The_Black_Spear_Ice_Totem,Turn in Totem to either NPC.,Speak with Kalakh 94.0N 45.9W or Arialle du Bellenesse 93.2N 48.2W - Temple of the Black Spear 95.3N 52.2W - retrieve Black Spear Ice Totem - return to quest giver,TRUE
blackspearicetotemstarted,,Verified,Verified,The Black Spear Ice Totem,https://acportalstorm.com/wiki/The_Black_Spear_Ice_Totem,Speak to Arialle or Kalakh. Doesn't seem to be different qb for other NPC.,Speak with Kalakh 94.0N 45.9W or Arialle du Bellenesse 93.2N 48.2W - Temple of the Black Spear 95.3N 52.2W - retrieve Black Spear Ice Totem - return to quest giver,FALSE
blackspeartemple_flag,,Verified,,Ruschk Aspect of Grael Quest,https://acportalstorm.com/wiki/Ruschk_Aspect_of_Grael_Quest,Access granted to the Black Spear Temple. See Lord Pyrovor.,Stonehold 72.8N 25.0W - Speak with Lord Pyrovor - Dericost Vault 74.7N 24.6W - Black Spear Temple 74.0N 28.6W - Speak with Lord Pyrovor - Ayan - Speak with Lamorda Loschi,FALSE
blackspeartempleupperlevel_flag,,Verified,Verified,Rossu Morta Chapterhouse Access,https://acportalstorm.com/wiki/Rossu_Morta_Chapterhouse_Access,Speak with Melaverre.,Speak with Melaverre 70.0N 62.4W - Black Spear Temple Upper Levels 68.5S 66.1W - kill Shonossoar the Song-Keeper - kill Kaihoatai the Monitor - kill Parfarrail the Seer - Speak with Melaverre 70.0N 62.4W,FALSE
blacktotemtemple_flag,,,,Splitting Grael (Mid),https://acportalstorm.com/wiki/Splitting_Grael_(Mid),Access granted to the Black Totem Temple. See Black Totem Gateway.,Ayan Baqur 59.6S 88.0W - Speak with Soju Bo-Ki - Kill Hastar the Misbegotten 93.2S 94.6W - Singularity Caul - Black Totem Temple 93.2S 94.6W - Destroy Black Totem - Return to Soju Bo-Ki,FALSE
blankaugluminancetimer_0511,,Verified,Verified,Non-Quest,https://acportalstorm.com/wiki/Non-Quest,Turn in Luminance Aug Token to Nalicana. Must say yes and spend the lum; saying no does not give the qb.,Turn in Luminance Aug Token to Nalicana. Must say yes and spend the lum - saying no does not give the qb.,TRUE
BleachedRabbitTreasureMapFound,Conquest,Verified,,Treasure Maps,,Bleached Rabbit Treasure Map Found,,FALSE
blessedcavecompleted_0912,,Verified,Verified,Releasing the Light,https://acportalstorm.com/wiki/Releasing_the_Light,See Shah-hi.,Excavation Site 77.7S 97.0E - Speak with Shah-hi - Blessed Cave 77.6S 96.7E - Kill Ritual Statue of Entrapment - Speak with Spirit of Bist'elle - Return to Shah-hi - Cragstone - Speak with Bretself the Translator - Speak with Popkin of the Gate,TRUE
blessedcavereachedend,,Verified,Verified,Releasing the Light,https://acportalstorm.com/wiki/Releasing_the_Light,See Shah-hi; Spirit of Bist'elle.,Excavation Site 77.7S 97.0E - Speak with Shah-hi - Blessed Cave 77.6S 96.7E - Kill Ritual Statue of Entrapment - Speak with Spirit of Bist'elle - Return to Shah-hi - Cragstone - Speak with Bretself the Translator - Speak with Popkin of the Gate,TRUE
blessedcavestarted_0912,,Verified,Verified,Releasing the Light,https://acportalstorm.com/wiki/Releasing_the_Light,Speak with Shah-hi.,Excavation Site 77.7S 97.0E - Speak with Shah-hi - Blessed Cave 77.6S 96.7E - Kill Ritual Statue of Entrapment - Speak with Spirit of Bist'elle - Return to Shah-hi - Cragstone - Speak with Bretself the Translator - Speak with Popkin of the Gate,FALSE
blightedmoarsmantreasuremapfound,Conquest,Verified,,Treasure Maps,,Blightedmoarsman Treasure Map Found,Blightedmoarsman Treasure Map Found,FALSE
blightlordlairwait1008,,Verified,Verified,Blight Lord Lair Quest,https://acportalstorm.com/wiki/Blight_Lord_Lair_Quest,Player wait time for Blight Lord Lairs. See Aerlinthe Gatestone; A'mun Gatestone; Esper Gatestone (among others).,Player wait time for Blight Lord Lairs. See Aerlinthe Gatestone - A'mun Gatestone - Esper Gatestone (among others).,TRUE
blindedbylugians,Conquest,Verified,,,,Blindedbylugians,Blindedbylugians,FALSE
BloodFlow,Conquest,Verified,,Blood Flow,,,,FALSE
bloodgemblueacquired0805,,Verified,Verified,Ricardo's Blood Gem,https://acportalstorm.com/wiki/Ricardo's_Blood_Gem,Ricardo's Blood Gem - Blue. Find/use Blue Blood Gem Fragment.,Eastwatch 90.3N 43.1W - Speak with Ricardo - Coral Caves 90.5N 42.5W - Kill Blood Golems for gem fragments - Combine fragments - Return to Ricardo,TRUE
bloodgemquestcompleted0805,,Verified,Verified,Ricardo's Blood Gem,https://acportalstorm.com/wiki/Ricardo's_Blood_Gem,Ricardo's Blood Gem Complete.,Eastwatch 90.3N 43.1W - Speak with Ricardo - Coral Caves 90.5N 42.5W - Kill Blood Golems for gem fragments - Combine fragments - Return to Ricardo,TRUE
bloodjewelhighpickedup,,,,The Callous Heart Quest (Medium),https://acportalstorm.com/wiki/The_Callous_Heart_Quest_(Medium),Player has collected the high Blood Jewel. Find/use Encrusted Bloodstone Jewel.,Speak with Kai Mallan Sho Enchanter 69.2N 17.2W - The Callous Heart 545D - Loot Encrusted Bloodstone Jewel from Locked Rewards Chest,FALSE
bloodjewellowpickedup,,,,The Callous Heart Quest (Low),https://acportalstorm.com/wiki/The_Callous_Heart_Quest_(Low),Player has collected the low Blood Jewel. Find/use Encrusted Bloodstone Jewel.,Stonehold 69.2N 17.2W - Speak with Kai Mallan Sho Enchanter - The Callous Heart - Loot Encrusted Bloodstone Jewel from Locked Rewards Chest,FALSE
bloodjewelmidpickedup,,,,The Callous Heart Quest (High),https://acportalstorm.com/wiki/The_Callous_Heart_Quest_(High),Player has collected the mid Blood Jewel. Find/use Encrusted Bloodstone Jewel.,Stonehold 69.2N 17.2W - Speak with Kai Mallan Sho Enchanter - The Callous Heart - grab A Bright Silver Key - choose portal 15+ 30+ or 45+ - loot Encrusted Bloodstone Jewel from Locked Rewards Chest,FALSE
bloodmouthmawrepeat,,Verified,Verified,Non-Quest,https://acportalstorm.com/wiki/Non-Quest,Player has turned in a Bloodmouth Maw at least once. See Merwart Pelagurg.,Player has turned in a Bloodmouth Maw at least once. See Merwart Pelagurg.,TRUE
bloodoath,Conquest,Verified,,Blood Oath,,Bloodoath,Bloodoath,FALSE
bloodpuzzlecompleted,,Verified,Verified,Clutch of Kings (Browerk),https://acportalstorm.com/wiki/Clutch_of_Kings_(Browerk),You've completed the Clutch of Kings blood puzzle. See Sacrificial Statue.,Speak with Watcher of the Dead 60.1S 88.1W in Ayan Baqur - Steamy Font 91.1S 89.6E - Balmy Font 91.5S 89.7E - Humid Font 91.3S 89.8E - Muggy Font 91.5S 89.4E - Font Tower 91.3S 89.5E - Qin Xikit's Hidden Crown - Qin Xikit's Antechamber - Secrets of Qin Xikit's Temple - Qin Xikit's Temple 42.4S 77.9W - Qin Xikit's Receiving Chamber - defeat Browerk - Speak with Guard Haigh 25.7N 48.9E in Cragstone,TRUE
bloodstonefactorycompleted_0211,,Verified,Verified,Bloodstone Investigation,https://acportalstorm.com/wiki/Bloodstone_Investigation,Completed Bloodstone Invesigation. See Sir Donovan. In Frozen Valley.,Cabin by the Frozen Valley 83.8N 4.3W - Speak with Sir Donovan - Gurog Ice Cave 84.9N 7.1W - Frozen Tomb 84.9N 7.1W - Lord Kastellar's Lab 84.9N 7.1W - Zaikhal - Speak with Kuyiza bint Zayi the Translator - Cabin by the Frozen Valley 83.8N 4.3W - Bloodstone Factory 84.5N 5.1W,FALSE
bloodstonefactorykeypickup,,Verified,Verified,Bloodstone Investigation,https://acportalstorm.com/wiki/Bloodstone_Investigation,Find/use Legendary Key. In Frozen Valley.,Cabin by the Frozen Valley 83.8N 4.3W - Speak with Sir Donovan - Gurog Ice Cave 84.9N 7.1W - Frozen Tomb 84.9N 7.1W - Lord Kastellar's Lab 84.9N 7.1W - Zaikhal - Speak with Kuyiza bint Zayi the Translator - Cabin by the Frozen Valley 83.8N 4.3W - Bloodstone Factory 84.5N 5.1W,FALSE
bloodstonefactorylargetomepickup,,Verified,Verified,Bloodstone Investigation,https://acportalstorm.com/wiki/Bloodstone_Investigation,Find/use Large Tome. In Frozen Valley.,Cabin by the Frozen Valley 83.8N 4.3W - Speak with Sir Donovan - Gurog Ice Cave 84.9N 7.1W - Frozen Tomb 84.9N 7.1W - Lord Kastellar's Lab 84.9N 7.1W - Zaikhal - Speak with Kuyiza bint Zayi the Translator - Cabin by the Frozen Valley 83.8N 4.3W - Bloodstone Factory 84.5N 5.1W,FALSE
